#,headline,url,publisher,date,stock
1,"Stock market today: S&P 500, Nasdaq slip as inflation fears grip markets",https://finance.yahoo.com/markets/stocks/live/stock-market-today-monday-may-18-earnings-nvidia-232705005.html,Yahoo Finance,18-May-26,
2,Historic Warning Signal Suggests the Stock Market Is Headed Somewhere Investors Do Not Want to Go,https://finance.yahoo.com/markets/stocks/articles/historic-warning-signal-suggests-stock-235000308.html,Yahoo Finance,18-May-26,
3, Q3 Stock Market Outlook: What’s In and What’s ,https://www.morningstar.com/markets/q3-stock-market-outlook-whats-whats-out,MorningStar,2-Jul-26,
4, U.S. stock futures rise as Wall Street looks to extend its rally coming off the holiday weekend ,https://www.morningstar.com/news/marketwatch/2026070529/us-stock-futures-rise-as-wall-street-looks-to-extend-its-rally-coming-off-the-holiday-weekend,MorningStar,5-Jul-26,
5," Smart Investor: Dividend-Stock Winners, Mid-Terms and the Elections, and Q2 Wrapups ",https://www.morningstar.com/markets/smart-investor-dividend-stock-winners-mid-terms-elections-q2-wrapups,MorningStar,5-Jul-26,
6, How the Largest Stock ETFs Performed ,https://www.morningstar.com/funds/how-largest-stock-etfs-performed,MorningStar,3-Jul-26,
7,"Weak jobs growth and easing oil prices reinforce expectations for Fed pause, analysts say",https://www.cnbc.com/2026/07/03/fed-rate-hikes-unlikely-weaker-us-jobs-data-oil-prices.html,CNBC,3-Jul-26,
8,Job Growth Slowed in June as Hiring Stayed Muted,https://www.investopedia.com/june-jobs-report-12010937,Investopedia,2-Jul-26,
9,Broadcom’s Stock Has Slumped Over 20% From Its Highs. These Experts Say They Would Buy the D,https://www.investopedia.com/broadcom-stock-has-slumped-over-20-percent-from-its-highs-these-experts-say-they-would-buy-the-dip-avgo-12009555,Investopedia,3-Jun-26,
10,Elon Musk Loses Trillionaire Status as SpaceX Stock Retreats,https://www.investopedia.com/elon-musk-no-longer-trillionaire-after-spacex-stocks-retreat-12006765,,25-Jun-26,
